City Name,City ID,Country Code,Longitude,Latitude,Temp,Feels Like Temp,Min Temp,Max Temp,Pressure,Humidity,Visibility,Wind Speed,Wind Temp,Sunrise,Sunset,Cloudiness
Puerto Ayora,3652764,EC,-90.3518,-0.7393,27.98,31.45,27.98,27.98,1012,76,10000,1.23,207,1647691548,1647735150,25
Ribeira Grande,3372707,PT,-28.7,38.5167,15.22,14.02,15.22,15.22,1024,47,10000,5.14,310,1647676805,1647720306,40
Saint-Philippe,935215,RE,55.7679,-21.3585,27.58,31.6,26.73,27.77,1010,84,10000,3.06,256,1647656414,1647700161,100
Kruisfontein,986717,ZA,24.7314,-34.0033,24.91,25.15,24.91,24.91,1018,65,10000,6.16,122,1647663797,1647707673,17
Naze,1855540,JP,129.4833,28.3667,15.51,15.05,15.51,15.51,1014,74,10000,4.91,319,1647638866,1647682333,48
Nantucket,4944903,US,-70.0995,41.2835,11.01,10.78,9.44,11.08,1016,100,402,6.69,150,1647686729,1647730250,100
Mwene-Ditu,207570,CD,23.45,-7,27.7,28.55,27.7,27.7,1007,55,10000,1.12,120,1647664224,1647707861,23
Mataura,6201424,NZ,168.8643,-46.1927,9.15,9.15,9.15,9.15,1015,99,10000,1.04,54,1647715553,1647759511,18
Young,3439525,UY,-57.6333,-32.6833,16.84,15.89,16.84,16.84,1025,50,10000,4.61,161,1647683583,1647727414,0
Cidreira,3466165,BR,-50.2056,-30.1811,20.56,20.84,20.56,20.56,1018,83,10000,5.77,226,1647681813,1647725619,100
Lebu,3883457,CL,-73.65,-37.6167,15.97,14.9,15.97,15.97,1016,49,10000,4.59,199,1647687398,1647731284,95
Tonj,365763,SS,28.6822,7.2737,39.43,36.94,39.43,39.43,1003,13,10000,2.58,58,1647663005,1647706569,54
Vostok,2013279,RU,135.8833,46.4856,-12.95,-12.95,-12.95,-12.95,1016,98,3146,0.94,181,1647723639,1647767252,87
Bluff,2206939,NZ,168.3333,-46.6,9.33,6.82,9.33,9.33,1015,92,9913,4.82,89,1647715677,1647759642,19
Hilo,5855927,US,-155.09,19.7297,20.74,21.38,20.34,21.81,1019,96,10000,3.09,250,1647707106,1647750660,100
Port Alfred,964432,ZA,26.891,-33.5906,25.03,25.63,25.03,25.03,1018,78,10000,7.17,100,1647663281,1647707152,98
Okahandja,3354898,NA,16.9167,-21.9833,27.6,27,27.6,27.6,1011,34,10000,0.25,263,1647665738,1647709482,90
Bumba,217745,CD,22.4667,2.1833,35.95,35.84,35.95,35.95,1003,29,10000,0.68,249,1647664484,1647708072,98
Esperance,2071860,AU,121.9,-33.8667,17.47,17.15,17.47,17.47,1021,72,10000,6.3,112,1647640465,1647684374,100
Longyearbyen,2729907,SJ,15.6401,78.2186,-3.09,-7.76,-3.09,-3.09,988,80,8000,3.6,280,1647666022,1647709810,75
Atuona,4020109,PF,-139.0333,-9.8,25.68,26.37,25.68,25.68,1012,79,10000,7.89,98,1647703210,1647746850,15
Albany,5106841,US,-73.9662,42.6001,12.2,11.83,9.74,14.85,1008,90,10000,1.34,167,1647687656,1647731179,100
Punta Arenas,3874787,CL,-70.9167,-53.15,7.96,4.98,7.84,8.06,1021,71,10000,5.14,20,1647686594,1647730777,75
Brodnica,3102627,PL,19.3965,53.2597,8.92,6.36,8.92,8.92,1045,28,10000,4.7,91,1647665274,1647708756,0
Cherskiy,2126199,RU,161.3,68.75,-21.59,-28.59,-21.59,-21.59,1019,83,10000,4.01,139,1647717418,1647761276,41
Narón,3115739,ES,-8.1528,43.5167,19.47,19.33,19.47,19.47,1020,71,10000,2.74,31,1647671880,1647715371,71
Vaini,4032243,TO,-175.2,-21.2,24.49,25.29,24.49,24.49,1011,88,9220,14.86,326,1647798277,1647841902,100
Dikson,1507390,RU,80.5464,73.5069,-12.07,-19.07,-12.07,-12.07,995,97,729,4.17,284,1647650578,1647694106,100
Kudahuvadhoo,1337607,MV,72.8944,2.6708,28.86,32.97,28.86,28.86,1009,73,10000,7.37,277,1647652386,1647695970,7
Troitsko-Pechorsk,481548,RU,56.1964,62.7084,-0.11,-4.45,-0.11,-0.11,1024,93,3456,4.04,275,1647656447,1647699923,100
Hay River,5972762,CA,-115.7999,60.8156,-13.01,-16.68,-14.02,-13.01,1011,92,604,1.54,100,1647697639,1647741271,100
Ouadda,236901,CF,22.4007,8.0777,38.67,35.4,38.67,38.67,1004,7,10000,2.56,107,1647664513,1647708075,31
Natal,3394023,BR,-35.2094,-5.795,29.55,32.55,29.55,29.55,1011,63,10000,4.33,117,1647678304,1647721931,100
Sitka,5557293,US,-135.33,57.0531,3.94,-0.3,3.94,3.94,1001,70,10000,5.66,110,1647702333,1647745950,75
Lüderitz,3355672,NA,15.1594,-26.6481,26.23,26.23,26.23,26.23,1012,56,10000,4.52,206,1647666137,1647709926,4
Avarua,4035715,CK,-159.775,-21.2078,25.03,25.76,25.03,25.03,1014,83,10000,2.57,100,1647708156,1647751858,100
Opuwo,3354077,NA,13.84,-18.0607,30.45,29.03,30.45,30.45,1009,28,10000,2.75,242,1647666492,1647710204,45
Mar del Plata,3430863,AR,-57.5575,-38.0023,17.15,16.23,17.15,18.01,1023,50,10000,5.14,270,1647683531,1647727429,0
St Helens,2638785,GB,-2.7333,53.45,15.67,14.47,14.17,16.79,1035,45,10000,7.72,110,1647670576,1647714074,0
Rudnya,500667,RU,31.0934,54.947,1.67,-0.53,1.67,1.67,1046,88,10000,2.02,333,1647662470,1647705947,3
